customer_id,company_name,contact_email,country,industry,company_size,acquisition_channel,signup_date,account_created_at
cus_fab9a0f6a42a4f,Shaffer Inc,ricky35@williams.com,CA,FinTech,2001+,paid_search,2023-01-11,2023-01-11 00:00:00+00:00
cus_2f123a3e0f9b43,Snow-Davis,leonard78@tucker-smith.info,US,E-Commerce,11-50,paid_search,2023-01-13,2023-01-13 00:00:00+00:00
cus_41e4d12ddd6643,Clements Inc,angelastokes@leonard-santos.com,US,AgriTech,11-50,paid_search,2023-01-13,2023-01-13 00:00:00+00:00
cus_1cca38146d1a43,Jensen-Frye,jorge81@bowers-jordan.com,DE,EdTech,11-50,paid_search,2023-01-14,2023-01-14 00:00:00+00:00
cus_695f54a25e9f4e,"Guerra, Lewis and Turner",irivera@freeman.com,FR,Logistics,201-500,referral,2023-01-14,2023-01-14 00:00:00+00:00
cus_7d7b374bd66144,Maynard Group,clifford43@holmes.net,GB,SaaS,1-10,outbound_sales,2023-01-14,2023-01-14 00:00:00+00:00
cus_ebdb35929fe248,"Nelson, Morgan and Washington",carrillodavid@jones-cox.com,FR,HR Tech,51-200,organic,2023-01-14,2023-01-14 00:00:00+00:00
cus_00de0e11ac934e,"Brown, Fuller and Barr",allison23@washington-carter.com,US,SaaS,1-10,organic,2023-01-15,2023-01-15 00:00:00+00:00
cus_7f66be9522ea4d,Greene-Horton,salazarcheryl@heath.biz,CA,HR Tech,201-500,organic,2023-01-15,2023-01-15 00:00:00+00:00
cus_79086b21d3344e,Harris-Farrell,tbell@parker-anderson.com,US,FinTech,11-50,organic,2023-01-16,2023-01-16 00:00:00+00:00
cus_eea6edc9046f4e,"Nunez, Holden and Rocha",kdudley@rose.com,US,EdTech,501-2000,organic,2023-01-16,2023-01-16 00:00:00+00:00
cus_fe9f7bb155e141,"Mosley, Chen and Long",ramseyelizabeth@stafford-hughes.biz,CA,HR Tech,11-50,outbound_sales,2023-01-16,2023-01-16 00:00:00+00:00
cus_1fffdfd54d924b,Diaz-Ellis,megan48@brown.com,US,AgriTech,1-10,paid_search,2023-01-17,2023-01-17 00:00:00+00:00
cus_9157b7eafa3b41,Mcguire Group,hollyjohnson@moreno.info,IN,EdTech,51-200,outbound_sales,2023-01-17,2023-01-17 00:00:00+00:00
cus_cf4e9fa6c23f4b,Dyer Group,michael19@patel-baker.biz,GB,FinTech,51-200,outbound_sales,2023-01-17,2023-01-17 00:00:00+00:00
cus_f45c75d90bbe40,Duncan-Hurley,michael46@dominguez-kline.com,US,E-Commerce,11-50,referral,2023-01-17,2023-01-17 00:00:00+00:00
cus_86d7dba93f1a4c,Torres and Sons,alexgarcia@sandoval.com,US,LegalTech,51-200,referral,2023-01-18,2023-01-18 00:00:00+00:00
cus_7c30997ee73548,"Andrews, Porter and Gonzalez",jennacastro@ross.info,GB,LegalTech,11-50,referral,2023-01-19,2023-01-19 00:00:00+00:00
cus_2819d5fdf4874c,"Williams, Alvarez and Soto",jilladams@robinson-jenkins.org,GB,Marketing,11-50,partner,2023-01-20,2023-01-20 00:00:00+00:00
cus_a1387c20430b47,Collins LLC,bryantmanuel@cohen.com,FR,HR Tech,11-50,paid_search,2023-01-20,2023-01-20 00:00:00+00:00
cus_b45f3afae1d645,Small LLC,rebecca05@evans-riley.com,US,LegalTech,11-50,outbound_sales,2023-01-20,2023-01-20 00:00:00+00:00
cus_3c2403f4fee44d,Humphrey-Riley,trevor36@holmes.biz,FR,Marketing,51-200,paid_search,2023-01-21,2023-01-21 00:00:00+00:00
cus_525a408c032446,"Beck, Clark and Wong",dwilson@shaffer.com,GB,HealthTech,11-50,referral,2023-01-21,2023-01-21 00:00:00+00:00
cus_5cfd1ad3f82541,"Rodriguez, White and Robertson",vlambert@davies.com,US,AgriTech,11-50,outbound_sales,2023-01-21,2023-01-21 00:00:00+00:00
cus_d81e9648862640,Hardy-Jones,davidjones@payne.com,GB,HealthTech,51-200,outbound_sales,2023-01-21,2023-01-21 00:00:00+00:00
cus_e48cef3791694d,Stewart PLC,ramirezkristin@torres.com,SG,Logistics,501-2000,organic,2023-01-21,2023-01-21 00:00:00+00:00
cus_186a5a7741bf40,Sullivan-Green,jacob57@sloan.biz,US,Logistics,11-50,paid_search,2023-01-22,2023-01-22 00:00:00+00:00
cus_66c6eb614e8346,Watson PLC,anunez@thomas.com,AU,LegalTech,11-50,paid_search,2023-01-22,2023-01-22 00:00:00+00:00
cus_d7211dfa9cda42,Moss-Christensen,nicholas97@johnson.net,GB,Marketing,11-50,partner,2023-01-22,2023-01-22 00:00:00+00:00
cus_07c397a1f1034d,Galvan-Combs,lacey20@lowery-kennedy.com,US,E-Commerce,201-500,referral,2023-01-24,2023-01-24 00:00:00+00:00
cus_abbc60b4ef6f44,Nguyen Group,angeladawson@perkins.biz,DE,HR Tech,11-50,referral,2023-01-24,2023-01-24 00:00:00+00:00
cus_46a61e4617f645,"Carter, Howard and Russell",amanda64@morrison.com,FR,E-Commerce,51-200,organic,2023-01-25,2023-01-25 00:00:00+00:00
cus_51a018673d5141,Lee PLC,jennifermedina@whitaker.biz,FR,FinTech,51-200,organic,2023-01-25,2023-01-25 00:00:00+00:00
cus_b7464301e82943,Charles LLC,woodrussell@schmitt-fleming.net,AU,E-Commerce,11-50,paid_search,2023-01-25,2023-01-25 00:00:00+00:00
cus_ddce6acc835e49,Olson Inc,elizabeth54@bernard.com,US,LegalTech,11-50,organic,2023-01-25,2023-01-25 00:00:00+00:00
cus_fef75f72368b4b,Lee Inc,peter92@jones.biz,US,Logistics,51-200,organic,2023-01-27,2023-01-27 00:00:00+00:00
cus_6fd7fba6be4b42,Rodgers and Sons,nlopez@walls-tucker.com,US,HealthTech,11-50,organic,2023-01-28,2023-01-28 00:00:00+00:00
cus_bc2762bf56f04a,Davis-Shannon,tracy32@berg-williams.net,DE,Marketing,51-200,partner,2023-01-28,2023-01-28 00:00:00+00:00
cus_651ae5d68e7c46,Mcknight Ltd,rodriguezstephanie@king.com,BR,Logistics,201-500,outbound_sales,2023-02-01,2023-02-01 00:00:00+00:00
cus_7d58ed0992f04c,Brown-Bowen,mariecasey@chan-schaefer.com,GB,AgriTech,1-10,paid_search,2023-02-01,2023-02-01 00:00:00+00:00
cus_b20bb47bc32a44,Dunn-Ware,brittany32@parker.com,US,FinTech,11-50,organic,2023-02-01,2023-02-01 00:00:00+00:00
cus_2760cef30e8640,"Williams, Castillo and Oliver",christine14@whitney.com,CA,SaaS,11-50,partner,2023-02-03,2023-02-03 00:00:00+00:00
cus_33d3153d10ee40,"Smith, Mendez and Carter",campossuzanne@harris-arnold.com,AU,HealthTech,51-200,paid_search,2023-02-03,2023-02-03 00:00:00+00:00
cus_2015d1b8b1c543,Donovan LLC,catherine29@gutierrez-oneill.org,US,Logistics,501-2000,referral,2023-02-04,2023-02-04 00:00:00+00:00
cus_7ef2306af32b4c,"Mccoy, Howard and Richardson",catherinedickson@moore.org,DE,LegalTech,201-500,outbound_sales,2023-02-04,2023-02-04 00:00:00+00:00
cus_9d4e9b7842854b,Bray-Kelly,shawnlara@evans-cochran.biz,AU,Marketing,201-500,outbound_sales,2023-02-04,2023-02-04 00:00:00+00:00
cus_a11380b2ff9e4f,"Hunter, Lewis and Rodriguez",martinezjoshua@taylor.com,GB,Logistics,1-10,organic,2023-02-04,2023-02-04 00:00:00+00:00
cus_a44d074d153441,"Sloan, Garner and Young",rachelsanders@hall.com,US,FinTech,501-2000,organic,2023-02-04,2023-02-04 00:00:00+00:00
cus_c184ed694b4549,Morse LLC,fsmith@anderson.info,US,HealthTech,51-200,referral,2023-02-04,2023-02-04 00:00:00+00:00
cus_da7d9dcc47b74e,"Ortiz, Berger and Walker",sandersthomas@miller-porter.com,CA,HealthTech,11-50,referral,2023-02-04,2023-02-04 00:00:00+00:00
cus_aae1a1e9545d41,"Jones, Charles and Allen",raven66@hall.org,NL,E-Commerce,11-50,partner,2023-02-05,2023-02-05 00:00:00+00:00
cus_21ae3fd4e53a47,Herman Inc,jill39@mejia-king.info,NL,EdTech,201-500,outbound_sales,2023-02-06,2023-02-06 00:00:00+00:00
cus_b3ebc7682fb249,Nichols Ltd,connor65@mckenzie-curtis.info,BR,FinTech,201-500,paid_search,2023-02-06,2023-02-06 00:00:00+00:00
cus_1a0fcb8fa4a44b,Le-Rodriguez,maria00@flores-torres.com,US,Logistics,201-500,outbound_sales,2023-02-07,2023-02-07 00:00:00+00:00
cus_385d13adf05a44,"Craig, Tanner and Meyers",steven39@robinson-johnson.com,US,Logistics,1-10,referral,2023-02-07,2023-02-07 00:00:00+00:00
cus_50358be27f0247,Meyers-Jones,smithcourtney@williams-brock.com,AU,Marketing,51-200,organic,2023-02-07,2023-02-07 00:00:00+00:00
cus_f55b34ea17f145,"Thompson, Dyer and Santos",ajones@wong.com,US,EdTech,51-200,organic,2023-02-07,2023-02-07 00:00:00+00:00
cus_c355a0a88d224c,Novak-Johnson,mmccann@liu.com,JP,HealthTech,201-500,outbound_sales,2023-02-08,2023-02-08 00:00:00+00:00
cus_8938b80f9da841,Hood PLC,chad39@brooks-wright.com,US,E-Commerce,11-50,organic,2023-02-09,2023-02-09 00:00:00+00:00
cus_c0da32a4280546,Johnson PLC,herbertschwartz@bailey-johnson.net,US,LegalTech,11-50,paid_search,2023-02-09,2023-02-09 00:00:00+00:00
cus_2974dfa68f6247,Larsen-Hoffman,jillianlarson@brown.com,GB,E-Commerce,11-50,partner,2023-02-10,2023-02-10 00:00:00+00:00
cus_545ac702044f4a,"Mendoza, Clark and Martin",cjohnson@berry.com,US,HR Tech,11-50,organic,2023-02-10,2023-02-10 00:00:00+00:00
cus_b283080d1afe4e,Silva Ltd,williamsdavid@smith.com,US,FinTech,51-200,outbound_sales,2023-02-10,2023-02-10 00:00:00+00:00
cus_ccbe6a89f4f640,Franklin PLC,mollymoore@levine-lozano.com,US,FinTech,201-500,outbound_sales,2023-02-10,2023-02-10 00:00:00+00:00
cus_fe34fad9eb0943,Griffin PLC,jessica62@russell.com,US,FinTech,1-10,organic,2023-02-10,2023-02-10 00:00:00+00:00
cus_69d50154d1304f,Morales and Sons,birdjoshua@smith.com,US,HR Tech,1-10,organic,2023-02-11,2023-02-11 00:00:00+00:00
cus_6e2e621c2a6941,Kelly-Hamilton,taylorwendy@wilson-lamb.com,US,AgriTech,51-200,outbound_sales,2023-02-11,2023-02-11 00:00:00+00:00
cus_b816158eef0b46,Lopez Inc,srice@solis-long.com,IN,E-Commerce,501-2000,referral,2023-02-11,2023-02-11 00:00:00+00:00
cus_27d7af50f18a40,Townsend-Compton,deckeremily@short.info,US,EdTech,501-2000,paid_search,2023-02-12,2023-02-12 00:00:00+00:00
cus_77110b86319c4b,House-Mcbride,ohopkins@weaver-mayo.com,US,HealthTech,1-10,paid_search,2023-02-12,2023-02-12 00:00:00+00:00
cus_aaf09de44be54c,"Wood, Miller and Mays",tturner@bowen.com,US,EdTech,51-200,paid_search,2023-02-12,2023-02-12 00:00:00+00:00
cus_b6d281c3ab124e,Campbell LLC,cgrimes@washington.biz,US,E-Commerce,201-500,outbound_sales,2023-02-12,2023-02-12 00:00:00+00:00
cus_01d2d7f8145a4a,Reilly-Davis,thompsonjohn@green-abbott.com,US,LegalTech,201-500,referral,2023-02-13,2023-02-13 00:00:00+00:00
cus_1d277058bd0949,"Taylor, Evans and Newton",vwatson@pope-navarro.com,US,SaaS,11-50,paid_search,2023-02-13,2023-02-13 00:00:00+00:00
cus_5ac3c344ab9143,Roberson-Carter,coreyhendrix@lyons.biz,CA,E-Commerce,1-10,partner,2023-02-13,2023-02-13 00:00:00+00:00
cus_aaf625c3c86945,Garrett Ltd,devin61@arnold.com,US,EdTech,51-200,organic,2023-02-13,2023-02-13 00:00:00+00:00
cus_0be4373eb0b04c,Contreras-Dawson,richard38@ball.com,CA,FinTech,51-200,organic,2023-02-14,2023-02-14 00:00:00+00:00
cus_309f513beb5a41,Pollard and Sons,jcherry@valenzuela.biz,US,HR Tech,1-10,referral,2023-02-14,2023-02-14 00:00:00+00:00
cus_33a7dab82d914f,"Stone, Flores and Harris",jessica85@young-rice.com,AU,SaaS,201-500,referral,2023-02-14,2023-02-14 00:00:00+00:00
cus_575300e4f2864d,Nichols Inc,elizabeth80@rivas.com,CA,LegalTech,51-200,partner,2023-02-14,2023-02-14 00:00:00+00:00
cus_bdc8db3140a347,Edwards and Sons,danielwilson@tate.com,FR,EdTech,51-200,organic,2023-02-14,2023-02-14 00:00:00+00:00
cus_d7871b13354643,Harrington-Wagner,lisa99@jenkins.com,SG,Marketing,1-10,outbound_sales,2023-02-14,2023-02-14 00:00:00+00:00
cus_e6a21e76726447,"Kline, Daniel and Arellano",parksandre@salazar-page.com,SG,E-Commerce,51-200,organic,2023-02-14,2023-02-14 00:00:00+00:00
cus_7f7a2cac15414b,Schmidt-Baker,jwood@evans-jones.com,US,LegalTech,11-50,outbound_sales,2023-02-15,2023-02-15 00:00:00+00:00
cus_bc35a0c3ed2b45,"Anderson, Parker and Flores",davidjohnson@perez-berry.com,BR,AgriTech,51-200,organic,2023-02-16,2023-02-16 00:00:00+00:00
cus_d24e687fd67e44,Williams-Maldonado,ryan33@foster-case.info,US,EdTech,51-200,referral,2023-02-16,2023-02-16 00:00:00+00:00
cus_cbe3f45059f242,Hayes-Thompson,jennifer50@jones.com,DE,E-Commerce,51-200,organic,2023-02-17,2023-02-17 00:00:00+00:00
cus_e9fdcc11e6a04d,Flores-Jackson,joann19@cherry-hines.com,US,HR Tech,1-10,referral,2023-02-18,2023-02-18 00:00:00+00:00
cus_7ed35424bde542,Moore LLC,laura38@smith.biz,US,LegalTech,201-500,organic,2023-02-19,2023-02-19 00:00:00+00:00
cus_97ffee16dfaa45,Edwards Group,marshalljeanne@gibson-dennis.org,GB,Logistics,1-10,outbound_sales,2023-02-19,2023-02-19 00:00:00+00:00
cus_18101a6612f948,Smith Inc,chris07@knight.org,US,HR Tech,1-10,paid_search,2023-02-20,2023-02-20 00:00:00+00:00
cus_47d6a8f4a9664c,Turner-Villarreal,robin48@serrano-aguilar.com,US,EdTech,11-50,referral,2023-02-20,2023-02-20 00:00:00+00:00
cus_6d937e67dcd84b,Taylor and Sons,aaroncook@becker-silva.net,US,HealthTech,51-200,referral,2023-02-20,2023-02-20 00:00:00+00:00
cus_8ded90ebfbf24d,Wells Group,stacy18@wilson.com,GB,E-Commerce,11-50,paid_search,2023-02-20,2023-02-20 00:00:00+00:00
cus_e138ddfdc95a49,"Patterson, Smith and Powell",pricejoshua@spencer.biz,CA,FinTech,51-200,outbound_sales,2023-02-20,2023-02-20 00:00:00+00:00
cus_f3ea8d7f42054d,Williams-May,edward76@cruz.com,SE,LegalTech,1-10,organic,2023-02-20,2023-02-20 00:00:00+00:00
cus_10a2018cc62a4b,"Wells, Perez and Phillips",awade@li.com,US,LegalTech,11-50,paid_search,2023-02-21,2023-02-21 00:00:00+00:00
cus_23493a7ee1524e,"Buchanan, Deleon and Brooks",graymark@melendez-miles.com,US,FinTech,501-2000,organic,2023-02-21,2023-02-21 00:00:00+00:00
cus_4030ee1536cf45,"Allen, Reid and Brown",tbarker@graham.biz,US,E-Commerce,11-50,outbound_sales,2023-02-21,2023-02-21 00:00:00+00:00
cus_76dc798a5a8340,Thomas Group,alexander09@garrett.biz,GB,AgriTech,51-200,organic,2023-02-21,2023-02-21 00:00:00+00:00
cus_a9b7fb8105b447,Mckinney-Ortega,mwilliams@smith-phillips.info,IN,Marketing,11-50,referral,2023-02-21,2023-02-21 00:00:00+00:00
cus_4d7165fb855e44,Curry PLC,amber31@west.biz,GB,EdTech,51-200,organic,2023-02-22,2023-02-22 00:00:00+00:00
cus_ad5f32cfd28748,Murphy LLC,pollardelaine@forbes.biz,GB,E-Commerce,1-10,paid_search,2023-02-22,2023-02-22 00:00:00+00:00
cus_c1068fc66eb945,Burns Ltd,timothy41@sanchez.com,CA,LegalTech,11-50,outbound_sales,2023-02-22,2023-02-22 00:00:00+00:00
cus_a8637479891b41,"Chen, Davis and Clark",ataylor@long-gay.info,CA,EdTech,51-200,referral,2023-02-23,2023-02-23 00:00:00+00:00
cus_f6a782753a4d4b,Webster PLC,aaron50@fisher.org,DE,EdTech,11-50,referral,2023-02-23,2023-02-23 00:00:00+00:00
cus_f9a88b322c8c4a,"Smith, Payne and Mcfarland",ramirezandrew@smith-taylor.com,US,AgriTech,2001+,organic,2023-02-23,2023-02-23 00:00:00+00:00
cus_7428263b7d9442,Scott-Miller,wilsondorothy@hartman.com,US,AgriTech,1-10,outbound_sales,2023-02-24,2023-02-24 00:00:00+00:00
cus_7e63d09a04884a,Reese Ltd,destinyrojas@larson.com,GB,HR Tech,11-50,paid_search,2023-02-24,2023-02-24 00:00:00+00:00
cus_e0ce49e0b1e249,Gonzales PLC,swatkins@simon-wells.com,AU,FinTech,501-2000,partner,2023-02-24,2023-02-24 00:00:00+00:00
cus_155a7ea4a23641,Kaufman-Esparza,cranekevin@rodriguez-hernandez.com,US,Marketing,201-500,partner,2023-02-25,2023-02-25 00:00:00+00:00
cus_24d03679067f44,Rivera and Sons,lawrencewanda@johnson.org,CA,HealthTech,1-10,outbound_sales,2023-02-25,2023-02-25 00:00:00+00:00
cus_3810b2a287604a,Gomez-Garcia,chankimberly@yang.com,JP,SaaS,11-50,referral,2023-02-25,2023-02-25 00:00:00+00:00
cus_5b9039040bb64d,"Harris, Cochran and Garcia",smithmeredith@fuentes.org,FR,E-Commerce,11-50,organic,2023-02-25,2023-02-25 00:00:00+00:00
cus_dfb0477e4dc244,Smith-Best,nancy77@smith-alexander.com,SE,Logistics,51-200,organic,2023-02-25,2023-02-25 00:00:00+00:00
cus_1c03f71a45d647,"Fernandez, Lindsey and Randolph",cynthiapittman@delgado.com,US,EdTech,1-10,partner,2023-02-26,2023-02-26 00:00:00+00:00
cus_3efe8ba1c1a143,"Anderson, Byrd and Johnson",brooke81@wolf-robinson.com,US,EdTech,201-500,referral,2023-02-26,2023-02-26 00:00:00+00:00
cus_516f4522650249,"Lambert, Griffin and Duffy",gina40@tucker-melton.info,DE,FinTech,51-200,organic,2023-02-26,2023-02-26 00:00:00+00:00
cus_386893fe87a54d,Webb-Jordan,xjenkins@roberts.info,DE,Logistics,11-50,paid_search,2023-02-27,2023-02-27 00:00:00+00:00
cus_8535d123e3d14f,Gibson-Jones,jballard@mccarthy.com,US,Marketing,501-2000,paid_search,2023-02-27,2023-02-27 00:00:00+00:00
cus_19a4f3c063a041,Chambers Ltd,tbennett@jackson-jackson.com,NL,AgriTech,51-200,outbound_sales,2023-02-28,2023-02-28 00:00:00+00:00
cus_2583432d136e4f,Johnson Inc,nharris@brown-morris.info,US,HR Tech,1-10,organic,2023-03-01,2023-03-01 00:00:00+00:00
cus_2bcebfec14d64f,Ramirez-Farmer,hickstimothy@lara-sexton.com,US,EdTech,201-500,paid_search,2023-03-01,2023-03-01 00:00:00+00:00
cus_735accd59b0d4a,Clark and Sons,colemanheather@joyce.org,IN,Logistics,501-2000,referral,2023-03-01,2023-03-01 00:00:00+00:00
cus_c56c2dd71dc749,Cole PLC,xsloan@watson-long.info,US,E-Commerce,501-2000,partner,2023-03-01,2023-03-01 00:00:00+00:00
cus_060dd798a75d4e,Clark-Williams,hallmaria@gonzales.com,FR,EdTech,1-10,paid_search,2023-03-02,2023-03-02 00:00:00+00:00
cus_135f231cdb524a,Oneal-Hudson,sarah94@blankenship-white.net,NL,HR Tech,51-200,organic,2023-03-02,2023-03-02 00:00:00+00:00
cus_1d5e31afb87c43,Young-Simmons,david78@tran-mcfarland.org,US,SaaS,201-500,organic,2023-03-02,2023-03-02 00:00:00+00:00
cus_359fd5a8d33d40,Perry-Collins,eric13@small-castillo.com,US,Logistics,11-50,organic,2023-03-02,2023-03-02 00:00:00+00:00
cus_5f0091622d4441,Sanchez-Zimmerman,austinmartinez@porter-gregory.com,NL,AgriTech,1-10,outbound_sales,2023-03-02,2023-03-02 00:00:00+00:00
cus_663f89e8b98e4e,"Flores, Rodriguez and Hanson",flemingmarcus@hines.com,IN,HR Tech,51-200,referral,2023-03-02,2023-03-02 00:00:00+00:00
cus_e314af5a661343,"Stephens, Weber and Williams",jessica67@levine.com,US,FinTech,201-500,organic,2023-03-02,2023-03-02 00:00:00+00:00
cus_1c427eaec01143,"Carter, Larson and Hays",msolomon@gonzalez-dixon.biz,US,HR Tech,51-200,partner,2023-03-03,2023-03-03 00:00:00+00:00
cus_a1bc4749230c4b,Garza-Hill,gonzalesamanda@barnes.org,US,HealthTech,501-2000,referral,2023-03-03,2023-03-03 00:00:00+00:00
cus_ada6f9f75d3e4a,"Harris, Kelley and Tran",czimmerman@brown-conrad.com,US,FinTech,51-200,paid_search,2023-03-03,2023-03-03 00:00:00+00:00
cus_d3294727e6c440,"Porter, Andersen and Clark",farmerdonald@daniels-anderson.com,US,LegalTech,2001+,paid_search,2023-03-03,2023-03-03 00:00:00+00:00
cus_d9075b17a1ba4b,Collins and Sons,ccook@gonzales.biz,US,FinTech,1-10,organic,2023-03-03,2023-03-03 00:00:00+00:00
cus_2e4d2c88ccaf4b,Padilla PLC,dixonjim@bennett.com,US,LegalTech,51-200,referral,2023-03-04,2023-03-04 00:00:00+00:00
cus_ff012cb47d134e,Colon and Sons,ifowler@pena.com,US,LegalTech,51-200,outbound_sales,2023-03-04,2023-03-04 00:00:00+00:00
cus_47ae2e6aeeb241,Spencer-Hooper,shannonbarron@yoder.com,US,Logistics,201-500,referral,2023-03-05,2023-03-05 00:00:00+00:00
cus_514be84c7f7e42,Garcia Ltd,adalton@perez.com,US,EdTech,51-200,outbound_sales,2023-03-05,2023-03-05 00:00:00+00:00
cus_889f0c8977774f,Haney Inc,micheleedwards@donovan-nielsen.com,US,HealthTech,201-500,outbound_sales,2023-03-05,2023-03-05 00:00:00+00:00
cus_8ec8a9ce578345,Horton LLC,ycameron@powell-green.org,JP,HealthTech,1-10,organic,2023-03-05,2023-03-05 00:00:00+00:00
cus_2fd84e882dfc44,"Miller, Caldwell and Forbes",hendersonjason@hayes-russell.com,US,SaaS,1-10,outbound_sales,2023-03-06,2023-03-06 00:00:00+00:00
cus_3bd91fb1523141,Collier-Huynh,aanthony@mercado.com,GB,Marketing,2001+,partner,2023-03-06,2023-03-06 00:00:00+00:00
cus_8051fcd519dc4d,"Powell, Steele and Martin",laura01@morrow-clark.com,US,EdTech,1-10,outbound_sales,2023-03-06,2023-03-06 00:00:00+00:00
cus_e0a4b3deb86843,Nixon-Maxwell,silvakevin@black.com,US,AgriTech,1-10,outbound_sales,2023-03-06,2023-03-06 00:00:00+00:00
cus_f619b6c9712741,"Anderson, Williamson and Bell",brandonallison@dunn.com,CA,EdTech,201-500,partner,2023-03-06,2023-03-06 00:00:00+00:00
cus_f8976dd919f94f,Tanner-Hill,jeromeodonnell@stephens-dodson.com,GB,EdTech,11-50,paid_search,2023-03-06,2023-03-06 00:00:00+00:00
cus_f93a9b5bc95f40,Harrell LLC,johnny47@moore.biz,US,Logistics,11-50,organic,2023-03-06,2023-03-06 00:00:00+00:00
cus_087256dc822742,Collins-Phillips,david62@castro.com,IN,E-Commerce,1-10,outbound_sales,2023-03-07,2023-03-07 00:00:00+00:00
cus_0dcf07c184534e,Williams and Sons,wilsonamanda@lee.com,US,SaaS,1-10,organic,2023-03-07,2023-03-07 00:00:00+00:00
cus_3e8a4413589143,"Anderson, Matthews and Lee",lopezkenneth@conway-bender.org,US,E-Commerce,51-200,organic,2023-03-07,2023-03-07 00:00:00+00:00
